@RELATION SCIAA
@ATTRIBUTE H90  	NUMERIC
@ATTRIBUTE H80   	NUMERIC
@ATTRIBUTE H70  	NUMERIC
@ATTRIBUTE total_printed   NUMERIC
@ATTRIBUTE total_handwritten   NUMERIC
@ATTRIBUTE total   NUMERIC
@ATTRIBUTE  class    {printed, handwritten}
@DATA
17,9,10,228,51,279,?
2,2,1,240,9,249,?
1,0,2,253,7,260,?
3,0,0,307,3,310,?
2,0,1,299,4,303,?
2,0,0,270,9,279,?
4,6,1,231,16,247,?
1,4,0,236,10,246,?
0,2,0,276,6,282,?
2,1,0,245,4,249,?
2,2,0,267,16,283,?
0,1,0,258,2,260,?
0,2,0,236,4,240,?
1,6,3,270,22,292,?
2,1,0,246,4,250,?
3,2,3,225,19,244,?
1,2,1,258,8,266,?
2,1,3,260,9,269,?
49,16,11,168,111,279,?
77,44,27,31,176,207,?
35,13,12,161,71,232,?
45,10,6,153,77,230,?
60,7,8,126,95,221,?
44,9,5,137,71,208,?
52,8,5,153,81,234,?
46,10,7,135,77,212,?
56,13,4,141,88,229,?
50,9,11,147,84,231,?
57,3,4,153,71,224,?
53,10,9,144,87,231,?
54,18,17,107,121,228,?
74,35,21,58,151,209,?
48,36,22,83,137,220,?
5,6,1,186,22,208,?
20,8,8,232,54,286,?
2,7,4,203,27,230,?
3,5,6,197,30,227,?
4,3,2,203,25,228,?
1,5,7,207,31,238,?
0,1,5,219,15,234,?
6,2,7,217,20,237,?
2,5,1,240,22,262,?
71,40,25,104,166,270,?
29,7,4,211,51,262,?
48,19,25,112,129,241,?
32,4,6,219,48,267,?
44,20,12,130,110,240,?
29,4,5,204,53,257,?
47,40,19,97,138,235,?
37,11,10,195,80,275,?
50,33,18,94,146,240,?
174,22,15,1,213,214,?
167,24,5,0,198,198,?
152,29,12,1,195,196,?
71,31,32,67,188,255,?
156,20,6,0,188,188,?
65,21,17,138,129,267,?
82,29,23,99,181,280,?
54,24,24,102,162,264,?
67,52,39,43,198,241,?
57,18,10,161,108,269,?
162,22,2,0,189,189,?
61,19,11,133,133,266,?
102,16,19,178,158,336,?
2,2,6,296,19,315,?
0,4,7,323,20,343,?
1,5,7,253,32,285,?
53,9,21,146,113,259,?
35,21,17,128,121,249,?
76,16,14,24,120,144,?
103,16,11,42,144,186,?
1,0,3,168,17,185,?
1,1,2,180,9,189,?
4,4,8,156,27,183,?
0,0,3,178,10,188,?
4,5,8,145,34,179,?
1,1,0,174,13,187,?
1,0,3,174,13,187,?
0,0,3,171,12,183,?
1,1,4,171,16,187,?
0,2,1,180,10,190,?
18,29,28,104,124,228,?
3,7,8,189,50,239,?
3,5,8,191,45,236,?
7,5,26,148,59,207,?
0,2,2,240,12,252,?
3,2,3,222,26,248,?
0,1,8,222,21,243,?
3,2,3,221,26,247,?
12,11,12,86,54,140,?
14,12,11,81,56,137,?
15,7,16,81,56,137,?
14,9,14,84,55,139,?
0,0,3,137,8,145,?
0,0,1,139,7,146,?
0,1,3,136,10,146,?
0,2,1,137,9,146,?
69,20,17,66,121,187,?
70,17,14,56,127,183,?
124,22,24,82,189,271,?
12,16,7,91,53,144,?
