% 1. Title: SCIAA Classifying printed and Handwritten text
% 
% 2. Sources:
% (a) Creator: Akhil Katpally
% (b) Donor: SCIAA 
% (c) Date: May, 2016
% 
@RELATION SCIAA
@ATTRIBUTE VerticalProjectionVariance  	NUMERIC
@ATTRIBUTE MajorHorizontalProjectionDifference   	NUMERIC
@ATTRIBUTE MajorVerticalEdge  	NUMERIC
@ATTRIBUTE pixelDistribution   NUMERIC
@ATTRIBUTE VerticalEdge   NUMERIC
@ATTRIBUTE Density   NUMERIC
@ATTRIBUTE DeviationWidth   NUMERIC
@ATTRIBUTE DeviationHeight   NUMERIC
@ATTRIBUTE DeviationArea   NUMERIC
@ATTRIBUTE class        {Printed, Handwritten}
@DATA
15698699.59,142800,177.83,20.93,28.67,85.50,172.98,2.54,7438.34,Handwritten
16995597.20,84660,172.21,20.22,25.26,81.76,72.98,1.54,14334.34,Handwritten
16376021.57,188700,170.00,4.00,26.29,81.82,1116.98,2.46,73045.66,Handwritten
19488384.50,171360,157.41,1.63,21.75,68.69,1148.98,2.46,75637.66,Handwritten
17130796.95,41820,175.31,27.10,30.09,103.08,207.02,1.46,34622.34,Handwritten
14741246.62,77520,196.42,51.92,29.09,88.45,308.98,4.54,1017.66,Handwritten
15592379.30,79560,190.40,52.52,34.47,98.69,55.02,3.54,25342.34,Handwritten
13867797.96,14280,132.60,4.12,32.51,98.47,419.02,3.54,52642.34,Handwritten
10810810.93,15300,233.02,51.92,41.77,151.07,387.02,20.54,54390.34,Handwritten
6210488.11,13260,203.06,12.63,41.13,134.71,479.02,24.54,60334.34,Handwritten
8218614.34,21420,211.03,20.13,43.13,117.01,279.02,20.54,48126.34,Handwritten
11070958.06,13260,148.18,51.52,32.92,88.43,323.02,4.54,45750.34,Handwritten
11995666.53,33660,228.16,12.61,41.01,107.09,0.98,21.54,32518.34,Handwritten
14405004.92,10200,210.77,37.31,41.32,62.07,331.02,19.46,39142.34,Handwritten
7276804.79,5100,185.79,42.50,45.54,76.80,583.02,8.54,65182.34,Handwritten
14406962.85,86700,188.89,14.96,25.15,50.95,309.95,6.01,26271.09,Handwritten
23066846.56,82620,233.23,7.39,18.49,45.00,143.95,7.01,13395.09,Handwritten
15064168.99,18360,223.99,37.78,42.11,87.90,13.95,0.99,784.91,Handwritten
15063842.63,22440,231.09,29.59,44.98,98.35,122.05,10.99,13888.91,Handwritten
16244919.45,18360,170.00,3.07,42.04,86.29,82.05,3.01,6512.91,Handwritten
21891118.25,6120,192.17,41.44,47.01,100.57,294.05,5.99,24236.91,Handwritten
12310861.07,22440,236.52,13.75,44.05,93.90,74.05,5.99,9056.91,Handwritten
10707419.91,16320,214.35,26.17,40.81,88.53,29.95,5.99,1880.91,Handwritten
404404.07,8160,191.25,0.00,22.31,162.71,366.05,46.99,31664.91,Handwritten
14050802.17,110160,252.00,9.29,10.77,29.90,49.95,10.01,7115.09,Handwritten
8322299.69,7140,177.39,32.68,49.48,86.10,318.05,5.99,25892.91,Handwritten
15449870.91,30600,192.00,7.55,37.01,73.72,97.95,10.01,11195.09,Handwritten
16374704.30,22440,218.09,16.79,43.57,82.78,85.95,1.01,5567.09,Handwritten
28086218.45,17340,201.00,9.16,34.32,77.90,194.05,10.01,13624.91,Handwritten
13013661.95,34680,243.05,23.70,42.74,107.67,66.05,10.99,10304.91,Handwritten
14122392.28,13260,243.75,4.55,41.58,95.89,314.05,6.99,25728.91,Handwritten
16926912.51,24480,186.83,14.95,24.88,60.11,53.95,26.01,15135.09,Handwritten
13693225.73,18360,164.52,51.17,30.08,65.09,30.05,18.01,3483.09,Handwritten
11423385.12,18360,212.50,0.00,45.64,116.92,230.05,14.99,21584.91,Handwritten
28986823.13,9180,219.30,25.36,32.52,72.39,54.05,25.01,3855.09,Handwritten
7649894.66,8160,127.50,2.14,33.50,71.20,342.05,13.01,25952.91,Handwritten
28466127.97,18360,255.00,28.21,34.84,91.29,230.05,21.01,14528.91,Handwritten
10418595.28,132600,224.40,49.46,27.28,49.17,561.95,0.01,40755.09,Handwritten
20493262.76,112200,224.40,4.99,35.89,84.95,543.95,0.01,39405.09,Handwritten
21896184.91,47940,217.60,2.07,36.83,89.71,153.95,0.01,10155.09,Handwritten
22007045.00,117300,223.13,3.08,34.60,85.07,897.95,5.01,72575.09,Handwritten
25347451.11,78540,207.78,0.60,35.67,85.68,18.05,6.01,296.91,Handwritten
25493850.30,31620,195.19,9.43,37.31,89.00,70.05,6.01,4508.91,Handwritten
20081371.43,6120,255.00,23.91,54.14,127.50,362.05,6.99,28992.91,Handwritten
8581350.22,6120,183.60,1.21,43.38,95.79,310.05,0.01,24644.91,Handwritten
26187317.75,14280,218.09,13.22,46.12,110.18,178.05,1.01,14496.91,Handwritten
24779913.27,90780,225.00,18.78,33.03,82.48,165.95,10.01,16975.09,Handwritten
24923104.50,87720,209.67,24.67,31.07,80.94,773.95,15.01,74655.09,Handwritten
19011044.73,55080,215.77,7.48,35.48,83.54,50.05,3.01,4016.91,Handwritten
