% 1. Title: SCIAA Classifying printed and Handwritten text
% 
% 2. Sources:
% (a) Creator: Akhil Katpally
% (b) Donor: SCIAA 
% (c) Date: May, 2016
% 
@RELATION SCIAA
@ATTRIBUTE VerticalProjectionVariance  	NUMERIC
@ATTRIBUTE MajorHorizontalProjectionDifference   	NUMERIC
@ATTRIBUTE MajorVerticalEdge  	NUMERIC
@ATTRIBUTE pixelDistribution   NUMERIC
@ATTRIBUTE VerticalEdge   NUMERIC
@ATTRIBUTE Density   NUMERIC
@ATTRIBUTE DeviationWidth   NUMERIC
@ATTRIBUTE DeviationHeight   NUMERIC
@ATTRIBUTE DeviationArea   NUMERIC
@ATTRIBUTE class        {Printed, Handwritten}
@DATA
9150817.63,9180,151.41,35.55,35.06,93.50,227.18,3.00,16834.25,Printed
11727020.74,26520,184.54,7.01,37.94,92.40,79.18,9.00,4866.25,Printed
13327131.71,11220,219.14,28.80,40.54,114.94,155.18,3.00,12226.25,Printed
14291061.79,41820,234.10,10.03,39.80,104.99,96.82,6.00,2749.75,Printed
10534290.32,48960,240.29,24.67,27.31,68.42,48.82,15.00,3202.25,Printed
8417247.46,5100,195.23,41.73,41.97,106.25,227.18,3.00,16834.25,Printed
17275572.07,25500,166.46,23.82,38.07,93.10,63.18,5.00,4546.25,Printed
12372495.45,30600,208.25,27.78,36.20,102.30,63.18,7.00,7234.25,Printed
10368051.52,34680,181.18,49.90,33.89,80.34,4.82,9.00,1517.75,Printed
10274757.76,75480,183.28,15.26,35.28,82.76,356.82,3.00,20541.75,Printed
15954601.56,4080,187.27,8.28,52.94,122.95,231.18,3.00,17090.25,Printed
8624122.87,28560,225.58,6.26,43.17,120.14,63.18,15.00,9026.25,Printed
9543982.35,67320,162.92,33.40,33.86,94.54,116.82,5.00,8413.75,Printed
26445107.38,49980,135.00,13.18,29.07,72.26,594.82,69.00,99277.75,Printed
12133496.10,7140,127.50,18.21,38.71,92.21,231.18,3.00,17090.25,Printed
14108216.20,60180,235.08,13.75,38.04,99.15,56.82,3.00,1341.75,Printed
9965499.12,44880,189.62,39.79,36.78,87.13,32.82,11.00,4285.75,Printed
9712201.56,5100,227.11,24.84,46.39,114.98,231.18,3.00,17090.25,Printed
10974766.06,46920,229.50,4.58,41.81,116.38,24.82,7.00,1954.25,Printed
11567492.96,37740,216.75,6.23,42.31,109.91,56.82,7.00,34.25,Printed
13894251.97,45900,142.33,18.71,26.65,65.86,320.82,19.00,31613.75,Printed
12070635.62,42840,216.04,48.56,34.68,97.24,124.82,5.00,8989.75,Printed
9492662.28,11220,215.77,31.88,46.83,123.58,207.18,15.00,16514.25,Printed
8768588.63,42840,218.57,2.27,42.39,116.57,12.82,11.00,3874.25,Printed
19513521.73,18360,219.14,18.72,41.07,95.01,183.18,3.00,14018.25,Printed
10191655.03,40800,200.36,28.71,42.36,105.69,16.82,11.00,3650.25,Printed
11809540.40,110160,141.96,31.59,23.48,58.19,820.82,30.00,86801.75,Printed
24239848.73,10200,215.16,25.04,31.56,93.71,187.18,3.00,14274.25,Printed
10469930.00,39780,202.50,42.50,34.53,91.36,20.82,1.00,269.75,Printed
13456787.06,47940,186.35,27.32,33.04,83.70,196.82,11.00,17077.75,Printed
9848242.03,16320,203.20,15.07,41.79,104.39,207.18,3.00,15554.25,Printed
15711473.62,12240,212.50,5.58,39.71,115.28,159.18,7.00,12994.25,Printed
12111794.10,21420,171.12,5.78,39.75,92.31,123.18,9.00,8210.25,Printed
13269758.06,57120,142.26,22.00,22.05,58.39,376.82,28.00,42405.75,Printed
8800124.29,63240,195.00,28.96,30.05,64.94,484.82,1.00,31821.75,Printed
10067236.01,45900,171.33,13.08,32.77,82.34,24.82,3.00,706.25,Printed
9795251.16,115260,155.22,23.28,23.47,51.53,1788.82,25.00,170317.75,Printed
3493832.40,15300,215.16,11.33,56.05,150.52,107.18,35.00,14914.25,Printed
22339017.01,60180,197.63,1.93,23.54,63.36,240.82,13.00,21565.75,Printed
9291888.81,4080,236.25,82.17,45.25,88.00,227.18,1.00,16594.25,Printed
21025745.05,13260,242.25,12.97,43.71,104.39,59.18,7.00,6994.25,Printed
6345690.09,30600,202.50,35.09,42.17,112.67,115.18,1.00,8978.25,Printed
21093292.16,56100,150.38,3.38,18.12,53.17,316.82,11.00,26437.75,Printed
19406621.93,11220,231.46,26.77,47.51,110.01,257.90,1.34,19570.72,Printed
11650759.09,13260,214.52,23.94,44.74,99.64,257.90,3.34,19914.72,Printed
9603850.26,5100,207.92,44.20,53.17,112.43,353.90,1.34,25810.72,Printed
22336042.03,10200,221.25,55.06,32.39,85.91,363.90,1.66,26262.72,Printed
16743152.37,21675,223.13,3.12,46.37,120.93,258.90,2.34,19806.72,Printed
18052161.99,45645,214.93,28.13,44.96,117.00,448.10,3.66,30709.28,Printed
7484677.26,4845,183.28,15.45,57.52,133.31,381.90,2.34,27678.72,Printed
15352024.01,33405,179.81,22.36,37.93,83.94,79.90,11.66,3450.72,Printed
15297698.35,65790,227.80,31.07,41.80,102.77,905.10,8.66,69374.28,Printed
16814848.29,12495,192.23,21.08,41.63,92.70,321.90,1.34,23730.72,Printed
18267031.26,52020,227.54,16.59,45.21,108.18,25.10,1.34,1175.72,Printed
10699009.70,51255,247.27,26.75,43.17,99.30,324.10,0.34,19013.28,Printed
8075354.85,11475,230.94,42.29,59.22,125.22,280.90,13.34,22853.72,Printed
7934050.38,8160,165.00,39.88,45.29,90.06,364.90,1.66,26330.72,Printed
17570244.57,23205,219.58,14.18,43.84,112.30,281.90,5.66,20094.72,Printed
10520428.40,49470,214.35,28.57,42.86,102.50,16.10,2.66,23.28,Printed
15940949.07,37485,248.54,16.71,45.01,94.06,144.10,12.66,14595.28,Printed
6662649.31,14790,119.22,23.53,29.54,63.74,268.90,10.66,18353.72,Printed
14164138.72,26775,243.58,25.60,47.29,114.96,72.90,0.66,6831.72,Printed
13425272.18,10710,199.42,15.78,48.43,98.81,317.90,11.66,22014.72,Printed
16441807.82,37485,214.35,29.26,48.18,117.64,97.90,2.66,7842.72,Printed
17983480.20,45645,187.89,13.09,38.62,96.43,33.90,9.66,654.72,Printed
14775032.00,31620,167.67,34.18,42.31,94.16,24.90,6.66,1185.72,Printed
8603144.03,10710,179.44,34.19,49.54,103.81,307.90,14.66,20868.72,Printed
19499114.31,19125,188.89,38.80,46.29,113.15,253.90,14.66,16494.72,Printed
13120575.69,4845,180.46,24.39,48.95,94.70,364.90,1.34,26525.72,Printed
13291388.08,31365,197.54,21.04,43.72,95.92,149.10,4.66,10358.28,Printed
18263861.76,68085,227.95,3.14,44.68,106.53,86.10,0.34,3305.28,Printed
16986948.10,59160,220.75,18.04,50.16,120.81,258.10,0.66,15345.28,Printed
20254147.93,29580,233.75,19.69,50.30,128.79,14.90,6.34,5850.72,Printed
15318856.16,10200,226.67,20.30,57.34,124.42,333.90,3.34,24702.72,Printed
15337248.10,45645,222.62,5.04,52.83,125.41,53.10,3.34,321.72,Printed
16263475.00,23460,234.76,13.98,58.07,131.66,285.90,3.34,21678.72,Printed
16964069.26,43350,242.86,0.46,55.73,125.37,150.10,3.34,5789.28,Printed
5657110.49,6120,241.09,76.67,40.13,91.42,365.90,11.34,27230.72,Printed
8920333.87,29580,240.83,37.69,50.23,124.47,197.90,12.34,18222.72,Printed
10934227.31,16575,245.56,24.28,54.05,131.88,290.90,12.34,23244.72,Printed
8922629.71,31365,213.27,22.08,53.43,136.63,110.90,11.34,13205.72,Printed
4014887.34,6630,209.67,49.11,44.81,99.73,364.90,21.34,27825.72,Printed
11512711.86,27030,232.33,11.80,56.44,136.94,134.90,21.34,17475.72,Printed
18859007.57,64770,238.00,19.74,55.83,127.72,44.10,6.34,2310.72,Printed
13726605.07,8160,242.25,17.74,58.39,138.91,337.90,6.34,25230.72,Printed
19139392.64,27540,246.90,14.56,59.00,137.18,197.90,3.34,16134.72,Printed
16660686.96,56610,213.87,12.11,55.74,125.45,40.90,4.34,6632.72,Printed
6133234.77,4845,198.90,29.48,57.93,122.96,365.90,16.34,27550.72,Printed
11642834.96,38760,234.60,30.65,57.33,141.53,27.10,16.34,7900.72,Printed
18095647.18,26265,209.02,22.89,54.81,133.42,248.90,5.34,19709.72,Printed
16875364.36,33915,210.48,10.45,61.10,131.68,148.90,3.34,13047.72,Printed
17103432.41,40545,214.52,0.71,62.58,139.10,139.90,3.34,12480.72,Printed
4470248.08,5100,168.69,53.74,40.89,89.48,377.90,1.34,27370.72,Printed
10863799.01,33915,231.09,7.98,45.76,106.84,76.90,2.34,8158.72,Printed
12559401.05,48960,223.62,11.11,48.62,111.96,72.10,1.34,1879.28,Printed
13309466.02,4845,191.25,33.69,60.01,111.50,365.90,2.34,26654.72,Printed
11982281.96,40290,195.23,11.71,45.51,109.86,52.90,2.34,6622.72,Printed
15394277.40,32640,210.00,0.53,49.91,126.62,70.90,1.66,6338.72,Printed
11330526.34,26265,223.62,9.60,49.44,109.40,130.90,1.34,11315.72,Printed
16858043.86,65280,234.32,29.81,41.79,92.89,954.10,7.66,71665.28,Printed
17648576.42,14025,204.00,2.81,40.29,106.29,333.90,1.34,24510.72,Printed
10746260.84,27795,198.33,2.60,53.20,138.44,233.90,12.34,20166.72,Printed
12640135.85,38505,232.50,1.31,44.57,113.55,0.90,1.66,1578.72,Printed
16521719.34,71655,204.67,15.85,41.96,93.99,912.10,9.66,71241.28,Printed
17506697.80,55080,229.50,39.24,48.09,120.86,193.10,3.66,12859.28,Printed
34153980.85,2295,203.20,104.32,61.69,125.03,400.90,2.34,28894.72,Printed
11018435.66,33150,182.69,14.64,48.12,97.73,132.90,0.66,10851.72,Printed
18945458.35,59160,215.77,29.05,43.25,122.42,2.10,1.34,2670.72,Printed
12003643.14,31365,219.14,1.62,55.70,116.12,193.90,2.34,15646.72,Printed
11285250.69,12750,203.20,37.73,52.35,111.78,284.90,2.34,21470.72,Printed
15652963.02,30345,180.87,11.06,43.47,88.26,215.10,19.66,24719.28,Printed
9821546.56,5355,176.54,26.54,57.88,112.23,368.90,1.34,26785.72,Printed
11090703.00,33915,220.75,23.26,49.79,113.83,189.90,0.66,14670.72,Printed
12158874.85,29325,207.19,21.37,43.88,115.48,179.90,2.34,14750.72,Printed
13968416.68,24480,211.85,5.52,48.72,114.25,185.90,1.34,14890.72,Printed
15604288.93,18870,243.05,7.64,52.92,124.59,259.90,2.34,19870.72,Printed
13277397.22,44370,218.57,26.39,44.52,104.88,74.10,3.66,4529.28,Printed
16644436.08,14790,211.85,1.16,49.74,129.01,248.90,1.34,18985.72,Printed
18368898.30,10455,227.54,14.30,46.77,124.97,340.90,1.34,24965.72,Printed
15786624.62,43095,228.75,17.45,47.65,113.15,51.10,1.66,1957.28,Printed
11901880.85,5100,191.25,0.38,55.89,169.11,381.90,18.34,28446.72,Printed
14518056.21,36465,216.94,40.03,46.59,127.21,192.10,0.66,10923.28,Printed
11057199.98,13260,176.54,20.80,53.92,108.07,281.90,1.34,21130.72,Printed
21797752.80,92310,213.56,2.62,33.91,78.07,1262.10,13.66,104609.28,Printed
11051362.01,18360,165.21,28.20,41.45,107.41,259.90,4.66,18680.72,Printed
18463807.49,23205,206.96,6.74,51.72,120.33,247.90,2.66,18192.72,Printed
8822630.49,39270,223.13,29.17,61.01,124.48,141.90,10.34,14622.72,Printed
17258273.76,80325,170.00,16.24,24.80,62.03,777.10,17.66,70637.28,Printed
21398971.96,105825,194.83,7.81,29.71,72.44,2496.10,22.66,229663.28,Printed
23996922.67,59415,196.42,22.66,28.70,79.08,161.10,7.66,12983.28,Printed
20727521.79,67830,183.08,12.85,31.47,73.65,737.10,11.66,60275.28,Printed
15489350.21,22185,222.68,34.24,45.68,104.65,104.90,4.66,7675.72,Printed
20492153.17,79050,193.45,4.03,34.33,80.57,1323.10,20.66,121760.28,Printed
13796198.95,50490,224.09,6.61,46.13,118.90,92.10,0.34,3701.28,Printed
14766148.65,46410,227.95,15.52,45.84,116.40,636.10,0.34,39605.28,Printed
20853541.51,129285,204.59,23.18,43.61,90.18,2366.10,19.66,209705.28,Printed
19345549.75,39780,225.86,6.21,52.34,99.93,125.10,3.66,8099.28,Printed
17255023.14,13770,224.09,13.26,47.88,98.67,327.90,0.34,24018.72,Printed
13312024.03,43350,224.09,8.85,46.51,106.28,233.10,0.34,13007.28,Printed
10996645.80,6120,203.20,17.67,57.09,116.13,347.90,2.34,25502.72,Printed
25359083.18,41055,227.54,26.01,44.10,105.88,231.90,1.34,17880.72,Printed
25630745.35,17850,221.25,45.01,36.44,82.81,319.90,1.66,23270.72,Printed
16743734.45,35955,220.23,7.95,48.75,111.30,76.90,0.34,7452.72,Printed
11265579.14,45390,194.61,44.06,41.07,85.10,335.10,9.66,27389.28,Printed
15169074.16,11730,243.23,36.00,49.22,102.28,288.90,1.34,21585.72,Printed
8015805.04,29835,225.00,16.64,60.69,124.96,175.90,15.34,17796.72,Printed
17277977.07,44880,215.77,30.71,41.47,97.05,147.10,11.66,14255.28,Printed
20955958.82,86955,222.31,21.74,37.83,81.76,827.10,11.66,67295.28,Printed
15266724.01,16830,219.14,49.81,43.83,96.73,328.90,2.34,24286.72,Printed
9560238.91,23460,213.20,6.34,49.08,118.21,124.90,5.34,12145.72,Printed
16827031.42,36975,211.95,38.65,33.13,74.60,313.10,10.66,26460.28,Printed
9006149.46,60180,194.73,28.54,46.75,105.79,97.10,11.34,1765.72,Printed
12217621.47,34935,250.36,38.83,40.74,92.29,473.10,11.34,18914.28,Printed
18071407.82,13005,247.39,23.79,46.22,89.11,325.90,0.66,23782.72,Printed
12591992.16,62730,211.85,18.13,48.09,113.35,215.10,1.34,11174.28,Printed
11834305.63,18105,200.08,14.64,48.75,106.16,298.90,1.34,22235.72,Printed
15454124.78,38250,192.97,38.05,29.02,56.12,54.90,7.66,3000.72,Printed
17561831.80,10200,229.92,48.00,41.15,93.39,320.90,5.34,24101.72,Printed
11703301.14,43350,226.21,6.14,49.79,115.49,70.10,4.34,249.28,Printed
14323575.13,18360,186.19,24.58,47.73,121.60,285.90,3.34,21678.72,Printed
8955843.91,36465,225.58,42.60,53.21,126.40,96.90,14.34,13434.72,Printed
21175113.13,9690,223.13,39.09,52.49,123.28,196.85,3.13,14687.33,Printed
12767825.73,15810,195.50,15.09,57.40,114.73,194.85,7.13,15255.33,Printed
12039080.38,5610,175.31,35.06,67.54,116.49,288.85,3.13,20575.33,Printed
14179945.80,6375,162.27,52.50,52.27,106.53,300.85,1.13,21207.33,Printed
16385922.44,73695,198.33,28.31,46.66,107.54,750.15,4.87,54872.67,Printed
17857646.08,35190,202.50,18.92,58.28,131.11,319.15,0.87,21088.67,Printed
6120292.45,6120,170.00,94.21,60.91,111.52,302.85,16.13,22329.33,Printed
9657200.00,17850,224.40,23.32,64.16,144.83,134.85,17.13,13995.33,Printed
12583319.57,9180,234.60,9.33,71.05,147.01,224.85,17.13,18495.33,Printed
8672177.47,16320,215.00,14.83,71.48,148.77,30.85,16.13,8457.33,Printed
4243570.91,3315,162.77,88.55,56.31,119.20,302.85,20.13,22593.33,Printed
13151602.93,29835,233.30,1.79,69.71,153.35,65.85,20.13,11454.33,Printed
6858738.81,5610,173.40,48.25,66.60,133.20,300.85,17.13,22295.33,Printed
12434145.49,52530,214.20,24.46,63.03,150.34,114.15,17.13,1545.33,Printed
19911603.78,48450,217.98,20.46,59.89,138.13,47.15,5.13,96.67,Printed
14556146.01,5100,194.29,18.30,70.14,146.02,274.85,4.13,19773.33,Printed
16311897.13,39270,215.16,5.99,66.30,131.40,126.15,3.13,5984.67,Printed
17119468.84,18870,221.56,14.00,68.82,147.39,221.85,6.13,16728.33,Printed
16766829.31,39270,239.06,9.69,69.19,135.59,217.15,3.13,11808.67,Printed
7342424.02,5100,108.18,50.53,48.26,88.17,307.85,1.13,21669.33,Printed
12470138.35,35700,193.18,5.74,57.42,113.62,0.15,1.13,1341.33,Printed
13760617.42,41310,220.23,18.26,54.27,118.30,158.15,1.13,9086.67,Printed
16448470.52,5355,192.23,45.90,66.69,123.12,300.85,2.13,21275.33,Printed
15267469.98,13005,173.27,43.66,48.84,101.07,141.85,10.87,7989.33,Printed
15922354.71,26010,201.13,32.31,58.67,115.59,129.85,3.87,8726.33,Printed
12491950.52,7650,157.50,18.95,56.60,122.78,271.85,0.87,19099.33,Printed
12730703.98,7905,166.53,25.22,70.53,172.51,321.85,18.13,23392.33,Printed
13899892.23,19125,195.62,49.73,47.23,112.58,97.85,5.87,5912.33,Printed
12699975.43,27540,191.25,18.73,56.98,117.66,19.15,3.13,863.33,Printed
15087283.62,27030,181.64,17.28,55.68,112.41,188.15,5.87,14965.67,Printed
11249296.48,5865,182.69,22.44,55.23,125.99,272.85,0.13,19263.33,Printed
17737670.82,11730,185.79,21.20,53.58,114.36,190.85,2.87,13235.33,Printed
13435567.18,10710,181.59,17.50,57.61,132.02,221.85,1.13,15993.33,Printed
9020948.66,10965,150.21,0.23,64.34,133.74,222.85,5.87,15037.33,Printed
14281883.43,29325,189.43,5.17,59.15,113.90,75.15,2.87,5384.67,Printed
11037815.50,11985,172.50,30.44,57.46,119.34,272.85,0.87,19167.33,Printed
17187583.17,54315,235.97,18.30,51.29,120.26,609.15,0.13,39830.67,Printed
14886954.80,9690,181.59,9.58,55.21,123.34,213.85,1.13,15465.33,Printed
10999014.23,4335,166.30,29.88,66.29,119.24,304.85,1.87,21279.33,Printed
15062017.24,29835,170.00,21.16,49.86,110.02,280.15,10.87,24926.67,Printed
16598482.06,16320,196.15,4.90,57.44,127.21,192.85,2.13,14255.33,Printed
14542320.98,30855,186.08,41.71,49.77,103.12,160.15,6.87,13450.67,Printed
19210850.43,14280,194.10,4.01,56.83,131.92,179.85,0.13,13032.33,Printed
19103726.68,10710,199.57,28.40,50.61,142.87,280.85,1.87,19623.33,Printed
16821851.01,25245,210.00,28.21,58.98,122.74,11.15,0.87,144.67,Printed
19865556.80,12750,177.39,8.15,53.15,121.73,120.85,1.87,8583.33,Printed
12296490.94,24225,188.48,20.46,61.02,120.66,59.15,1.87,3836.67,Printed
9209791.84,24990,185.45,0.58,56.84,124.52,67.15,1.13,3080.67,Printed
20878444.88,43350,227.11,22.24,64.62,136.51,111.15,3.13,5024.67,Printed
15516636.80,7395,210.48,18.15,66.08,140.92,270.85,4.13,19521.33,Printed
18297716.97,40800,239.06,7.95,66.99,136.93,265.15,3.13,14880.67,Printed
14385372.88,19890,204.00,38.76,54.65,122.94,38.85,2.87,2595.33,Printed
18258149.07,26520,201.13,14.44,54.16,116.92,155.15,3.87,11508.67,Printed
20807805.17,17595,192.17,10.23,49.87,119.79,99.85,1.87,7134.33,Printed
13946534.72,21165,181.09,37.69,59.23,121.27,19.85,1.87,1614.33,Printed
17781520.50,10710,211.29,23.48,62.22,125.27,229.85,2.87,15965.33,Printed
11229798.90,32895,202.50,35.10,58.16,127.31,62.15,0.87,3612.67,Printed
23449179.11,75735,201.13,10.81,51.03,111.74,130.15,3.87,9733.67,Printed
8081649.77,21420,192.37,5.17,65.80,138.19,152.85,10.13,13383.33,Printed
17760481.39,11475,193.18,20.25,58.27,137.55,172.85,1.13,12759.33,Printed
17212196.87,20910,200.91,17.58,54.19,141.27,182.85,1.13,13419.33,Printed
24831078.60,19890,166.30,4.99,41.03,101.27,114.85,1.87,8169.33,Printed
13893206.96,17850,194.10,15.66,60.11,127.61,130.85,0.13,9749.33,Printed
18075062.78,32640,182.14,29.29,49.03,101.08,306.15,9.87,26279.67,Printed
13522343.57,14790,129.16,33.72,49.30,104.19,190.85,9.87,11989.33,Printed
13359841.57,15300,180.00,28.62,59.83,124.85,218.85,0.87,15495.33,Printed
17747113.59,13770,177.73,8.70,58.04,126.91,224.85,1.13,16191.33,Printed
12013098.43,17085,174.47,11.85,52.22,110.08,72.85,8.87,3199.33,Printed
23101047.77,70635,164.52,32.57,35.59,81.87,1202.15,25.87,120407.67,Printed
11181044.99,28305,198.75,12.05,62.93,132.06,40.85,0.87,3391.33,Printed
17385922.30,24225,174.30,22.02,46.95,107.19,76.15,11.87,9459.67,Printed
20078405.53,64260,172.93,38.89,43.41,92.12,687.15,19.87,66176.67,Printed
20783392.04,77010,156.00,19.47,41.21,89.68,1288.15,17.87,115149.67,Printed
27773433.46,23970,166.85,26.77,34.88,82.74,20.85,13.87,2492.67,Printed
12680900.99,28815,171.08,25.27,51.00,117.54,142.15,11.87,14673.67,Printed
21108273.86,11730,185.79,15.35,45.37,122.88,267.85,2.87,18625.33,Printed
17188853.48,19635,197.91,13.13,57.22,132.24,222.85,0.13,15913.33,Printed
17161673.53,19125,232.16,23.61,55.32,124.85,179.85,0.13,13032.33,Printed
13096806.80,13005,189.62,7.16,61.22,119.00,121.85,10.87,6429.33,Printed
19712551.89,45390,179.44,15.25,47.18,104.26,343.15,13.87,31976.67,Printed
22600995.73,25245,163.93,49.62,42.21,96.49,230.15,16.87,24620.67,Printed
28441764.06,36720,166.85,64.53,41.36,96.54,79.85,13.87,2286.33,Printed
9251189.34,15045,176.18,16.21,63.74,163.72,221.85,12.13,17610.33,Printed
27281569.25,31365,197.91,12.43,32.43,82.18,111.85,0.13,8476.33,Printed
21434982.79,48450,181.64,25.38,48.37,101.02,332.15,5.87,25477.67,Printed
19511523.03,44370,201.32,50.31,49.43,103.88,595.15,8.87,47568.67,Printed
16978020.37,7140,191.25,1.21,53.29,135.76,272.85,3.13,19551.33,Printed
16820403.14,6630,180.46,17.02,58.74,137.99,224.85,2.13,16335.33,Printed
14754860.65,36975,157.19,8.55,49.01,113.37,64.15,5.87,5913.67,Printed
20445568.35,36720,176.30,37.52,45.03,95.94,289.15,13.87,27602.67,Printed
12084952.32,29835,250.00,8.95,68.28,151.15,195.15,16.13,3068.67,Printed
18369217.40,14280,214.52,23.89,63.55,143.89,188.85,4.13,14355.33,Printed
16797075.53,43095,214.52,11.84,69.51,146.32,212.15,4.13,10907.67,Printed
14984491.36,68340,225.43,24.31,56.41,113.61,1180.15,1.87,81185.67,Printed
12997578.14,21930,213.13,32.02,49.40,111.77,131.85,0.13,9816.33,Printed
19132385.09,27030,200.08,18.14,65.27,140.14,166.85,2.13,12565.33,Printed
19874684.33,72420,237.53,16.04,60.92,124.72,575.15,5.87,43216.67,Printed
18117060.37,75990,233.75,1.08,62.91,129.13,1060.15,4.87,77192.67,Printed
18172211.35,40035,228.75,4.46,63.74,128.48,145.15,0.87,9256.67,Printed
22292055.87,7905,210.65,36.93,58.71,109.72,255.85,1.87,17898.33,Printed
14101352.69,36465,201.32,24.84,48.53,100.45,317.15,8.87,26440.67,Printed
12763126.57,10455,140.82,13.14,55.50,120.42,282.85,0.13,19933.33,Printed
25018084.14,15810,240.00,5.18,50.41,112.75,171.85,0.87,12299.33,Printed
13685616.12,35955,186.08,32.97,53.75,111.28,342.15,6.87,26918.67,Printed
13481175.60,22440,168.80,17.30,54.85,109.58,128.15,3.87,9591.67,Printed
15383966.90,29070,204.00,29.44,52.73,113.63,78.85,2.87,5395.33,Printed
11987951.78,29835,157.50,44.35,59.61,130.30,178.85,0.87,12775.33,Printed
16165400.35,26265,221.25,30.08,55.55,127.20,42.85,0.87,3527.33,Printed
12060601.31,20655,200.08,0.00,61.16,110.94,69.85,2.13,6260.33,Printed
19484596.07,33150,218.04,48.52,51.94,120.08,70.15,1.87,4595.67,Printed
10924730.29,22185,198.33,0.98,58.20,125.41,130.85,4.13,10701.33,Printed
12034143.78,8160,193.94,53.86,65.15,116.05,224.85,3.87,15471.33,Printed
15812331.25,16830,239.06,0.96,67.36,128.60,79.85,3.13,7199.33,Printed
28374960.85,13515,214.35,58.48,39.52,95.69,257.85,1.87,18036.33,Printed
18133460.96,33150,231.82,12.42,55.92,120.77,4.15,1.13,1077.33,Printed
11721683.87,47940,210.20,33.67,48.94,101.80,397.15,6.87,30988.67,Printed
15716423.91,13260,235.68,42.62,60.23,123.47,227.85,1.13,16389.33,Printed
8871222.66,20145,193.80,5.24,69.12,142.21,102.85,17.13,12395.33,Printed
13839385.00,25245,189.43,15.53,58.73,120.79,129.85,2.87,8965.33,Printed
14938934.12,30345,190.30,27.55,52.76,128.03,61.85,0.13,5126.33,Printed
39241259.03,2295,213.13,72.21,55.98,147.33,337.85,0.13,23618.33,Printed
13188847.53,27540,203.26,24.89,57.93,127.99,128.85,1.87,9135.33,Printed
19495464.25,19125,208.64,54.64,55.45,105.08,257.85,1.13,18369.33,Printed
11742462.90,34425,172.62,8.28,55.86,122.20,47.85,2.13,4830.33,Printed
15497517.65,31365,243.23,8.54,58.49,117.91,77.15,2.13,3294.67,Printed
7787026.17,10710,210.00,21.08,75.74,139.21,172.85,16.13,15699.33,Printed
12834433.97,7395,215.77,3.46,63.19,112.56,274.85,2.13,19585.33,Printed
12258756.71,33660,189.32,25.17,58.50,124.11,157.15,1.13,9020.67,Printed
13339194.45,60690,204.00,28.07,56.10,116.03,605.15,2.87,42484.67,Printed
21406327.22,13515,219.14,32.96,50.81,106.30,259.85,3.13,18719.33,Printed
13035174.42,52020,215.16,25.62,56.61,122.35,293.15,3.13,16672.67,Printed
13074776.46,14280,215.16,3.03,59.94,114.45,5.85,3.13,2463.33,Printed
15515167.37,6885,209.76,58.53,54.02,99.86,257.85,5.13,18813.33,Printed
11218121.81,36210,218.57,15.61,59.54,118.58,139.15,4.13,6308.67,Printed
14289345.37,24735,217.98,29.78,52.44,121.75,220.85,5.13,16519.33,Printed
9209388.72,22695,204.00,40.50,65.18,133.36,41.85,12.13,7710.33,Printed
19842931.59,9690,201.72,34.70,47.52,101.11,255.85,0.13,18124.33,Printed
9660015.77,9180,162.27,35.18,61.98,116.26,270.85,1.13,19227.33,Printed
19974363.71,33915,216.94,23.85,53.86,117.73,99.15,0.13,5660.67,Printed
10833839.32,44880,203.35,36.68,46.59,96.29,385.15,11.87,33870.67,Printed
8357194.20,14280,208.64,48.87,66.28,134.36,216.85,12.13,17335.33,Printed
16445583.80,16830,202.38,9.44,68.14,134.73,180.85,4.13,13851.33,Printed
16934231.01,10965,207.19,13.78,58.75,129.18,278.85,3.13,19935.33,Printed
16962774.59,28560,193.18,32.55,50.69,125.69,133.85,1.13,10185.33,Printed
13337034.82,17850,251.02,15.53,56.90,132.95,218.85,3.13,16095.33,Printed
12566049.99,50745,202.50,41.31,54.34,122.24,677.15,0.87,45432.67,Printed
19377676.67,13770,209.76,5.54,56.55,120.36,232.85,5.13,17263.33,Printed
14033720.55,57885,207.92,24.62,57.08,118.55,3.15,2.13,1515.33,Printed
12533540.70,31365,204.00,11.48,58.89,125.29,22.85,2.13,3205.33,Printed
13109984.02,21165,196.15,18.54,56.46,108.21,7.15,2.13,1255.33,Printed
14431489.55,42330,199.57,17.50,56.55,107.08,619.15,1.87,42476.67,Printed
14206999.64,43095,187.50,52.38,48.58,120.61,113.15,0.87,7080.67,Printed
12161391.10,33150,208.64,15.77,56.38,125.60,29.15,1.13,572.67,Printed
13393911.17,55080,185.08,7.44,56.07,116.79,212.15,5.13,10326.67,Printed
11948173.82,25245,170.00,15.05,50.30,113.84,80.85,4.13,7551.33,Printed
15541572.59,67575,218.57,14.92,53.30,117.28,245.15,4.13,12986.67,Printed
7420423.52,6885,184.17,44.24,71.64,149.30,269.85,13.13,20349.33,Printed
14826747.57,22185,206.43,0.39,54.98,123.41,33.15,4.13,369.33,Printed
17353636.35,20655,231.46,7.54,57.59,127.94,83.15,2.13,3684.67,Printed
16113678.83,59925,204.00,17.85,52.24,109.84,250.15,2.13,14539.67,Printed
16467051.28,29580,223.13,17.37,54.57,124.96,18.15,3.13,927.33,Printed
13451692.62,20910,197.05,13.18,57.25,124.05,28.15,1.13,506.67,Printed
10765135.95,34170,167.34,4.68,54.88,124.42,68.85,3.13,6495.33,Printed
