% 1. Title: SCIAA Classifying printed and Handwritten text
% 
% 2. Sources:
% (a) Creator: Akhil Katpally
% (b) Donor: SCIAA 
% (c) Date: September, 2016
% 
@RELATION SCIAA
@ATTRIBUTE Area  	NUMERIC
@ATTRIBUTE MajorAxisLength   	NUMERIC
@ATTRIBUTE MinorAxisLength  	NUMERIC
@ATTRIBUTE Eccentricity   NUMERIC
@ATTRIBUTE Orientation   NUMERIC
@ATTRIBUTE ConvexArea   NUMERIC
@ATTRIBUTE FilledArea   NUMERIC
@ATTRIBUTE EquivDiameter   NUMERIC
@ATTRIBUTE Solidity   NUMERIC
@ATTRIBUTE Extent   NUMERIC
@ATTRIBUTE Perimeter   NUMERIC
@ATTRIBUTE class        {'Text', 'Noise'}
@DATA
1376.00,56.3162,48.7116,0.5018,-9.4706,1929,1376,0.5791,0.7133,41.8566,269.2230,'Text'
12.00,6.9282,2.3094,0.9428,0.0000,12,12,1.0000,1.0000,3.9088,11.3960,'Noise'
1240.00,81.8183,34.5002,0.9067,-84.5867,2249,1240,0.4348,0.5514,39.7343,227.7900,'Text'
20.00,11.5470,2.3094,0.9798,0.0000,20,20,1.0000,1.0000,5.0463,19.2360,'Noise'
28.00,16.1658,2.3094,0.9897,0.0000,28,28,1.0000,1.0000,5.9708,27.0760,'Noise'
1300.00,57.9644,48.8445,0.5384,-50.4408,1953,1300,0.5682,0.6656,40.6843,256.2390,'Text'
1288.00,56.4501,49.1585,0.4916,-46.7545,1893,1288,0.6098,0.6804,40.4961,255.6270,'Text'
4.00,2.3094,2.3094,0.0000,0.0000,4,4,1.0000,1.0000,2.2568,3.5560,'Noise'
1428.00,83.6232,46.1583,0.8339,-86.2876,2695,1428,0.4533,0.5299,42.6402,299.3840,'Text'
1480.00,66.7317,47.1819,0.7072,-86.9390,2023,1556,0.4591,0.7316,43.4096,250.4500,'Text'
1484.00,75.0169,46.2397,0.7874,-63.0977,2418,1484,0.4787,0.6137,43.4682,295.4390,'Text'
1292.00,52.6995,45.1596,0.5154,84.6422,1740,1432,0.6106,0.7425,40.5589,223.2250,'Text'
28.00,16.1658,2.3094,0.9897,0.0000,28,28,1.0000,1.0000,5.9708,27.0760,'Noise'
1200.00,73.0999,35.8057,0.8718,-85.3755,2061,1200,0.4608,0.5822,39.0882,236.8540,'Text'
4.00,2.3094,2.3094,0.0000,0.0000,4,4,1.0000,1.0000,2.2568,3.5560,'Noise'
1204.00,51.3016,49.3895,0.2705,30.7020,1693,1596,0.5690,0.7112,39.1533,157.0150,'Text'
1492.00,70.1293,46.5988,0.7473,78.0016,2240,1828,0.5068,0.6661,43.5852,211.0680,'Text'
1428.00,70.0196,45.7734,0.7567,77.1949,2157,1788,0.5235,0.6620,42.6402,199.5230,'Text'
