% 1. Title: SCIAA Classifying printed and Handwritten text
% 
% 2. Sources:
% (a) Creator: Akhil Katpally
% (b) Donor: SCIAA 
% (c) Date: September, 2016
% 
@RELATION SCIAA
@ATTRIBUTE Area  	NUMERIC
@ATTRIBUTE MajorAxisLength   	NUMERIC
@ATTRIBUTE MinorAxisLength  	NUMERIC
@ATTRIBUTE Eccentricity   NUMERIC
@ATTRIBUTE Orientation   NUMERIC
@ATTRIBUTE ConvexArea   NUMERIC
@ATTRIBUTE FilledArea   NUMERIC
@ATTRIBUTE EquivDiameter   NUMERIC
@ATTRIBUTE Solidity   NUMERIC
@ATTRIBUTE Extent   NUMERIC
@ATTRIBUTE Perimeter   NUMERIC
@ATTRIBUTE class        {'Text', 'Noise'}
@DATA
1308.00,57.7027,46.8817,0.5830,-44.6618,1922,1640,0.5717,0.6805,40.8093,179.9230,'Text'
1412.00,70.0833,46.5737,0.7472,78.2114,2208,1788,0.4745,0.6395,42.4006,210.2410,'Text'
1052.00,64.1054,35.8074,0.8295,-79.5386,1759,1052,0.4638,0.5981,36.5985,217.0390,'Text'
1532.00,70.5985,45.7736,0.7613,76.4379,2210,1840,0.5372,0.6932,44.1656,204.0550,'Text'
1456.00,69.9217,45.7241,0.7566,75.6306,2244,1792,0.5275,0.6488,43.0562,207.9750,'Text'
1300.00,51.6480,45.6469,0.4679,86.5953,1736,1416,0.6144,0.7488,40.6843,220.3470,'Text'
1484.00,70.5380,44.8760,0.7715,76.2151,2215,1808,0.5440,0.6700,43.4682,210.2410,'Text'
1292.00,51.1246,45.0356,0.4733,82.1128,1697,1532,0.6687,0.7613,40.5589,171.8680,'Text'
3252.00,110.5833,68.2557,0.7868,11.4194,5436,3252,0.5420,0.5982,64.3473,661.5540,'Text'
1160.00,75.7265,34.1608,0.8925,-84.9069,2071,1160,0.4252,0.5601,38.4312,241.6010,'Text'
1040.00,57.3238,41.3830,0.6920,84.8763,1773,1040,0.4915,0.5866,36.3891,217.8660,'Text'
1432.00,70.7443,45.0790,0.7707,78.8097,2105,1792,0.5499,0.6803,42.6999,204.2700,'Text'
1080.00,51.2698,49.5344,0.2580,47.9218,1581,1532,0.6122,0.6831,37.0823,148.7780,'Text'
1308.00,49.6738,46.4984,0.3518,-78.0958,1730,1404,0.6181,0.7561,40.8093,214.1610,'Text'
1068.00,75.4283,34.6875,0.8880,-87.4411,2007,1068,0.4101,0.5321,36.8757,230.0560,'Text'
1068.00,63.5574,35.8860,0.8253,-81.1478,1722,1068,0.5205,0.6202,36.8757,212.7220,'Text'
1208.00,50.0309,46.4047,0.3738,-81.6420,1693,1336,0.5709,0.7135,39.2183,219.5200,'Text'
20.00,11.5470,2.3094,0.9798,0.0000,20,20,1.0000,1.0000,5.0463,19.2360,'Noise'
32.00,18.4752,2.3094,0.9922,0.0000,32,32,1.0000,1.0000,6.3831,30.9960,'Noise'
20.00,11.5470,2.3094,0.9798,0.0000,20,20,1.0000,1.0000,5.0463,19.2360,'Noise'
20.00,11.5470,2.3094,0.9798,0.0000,20,20,1.0000,1.0000,5.0463,19.2360,'Text'
1300.00,54.0034,49.8168,0.3861,-42.7726,1957,1624,0.5682,0.6643,40.6843,188.1600,'Text'
48.00,27.7128,2.3094,0.9965,0.0000,48,48,1.0000,1.0000,7.8176,46.6760,'Noise'
1284.00,50.1035,48.2437,0.2699,-88.5378,1740,1412,0.6068,0.7379,40.4331,217.8660,'Text'
1412.00,67.5253,44.1763,0.7563,75.6061,2041,1736,0.5796,0.6918,42.4006,197.0420,'Text'
1128.00,52.2492,49.3726,0.3272,72.1819,1617,1576,0.5839,0.6976,37.8974,149.1750,'Text'
4.00,2.3094,2.3094,0.0000,0.0000,4,4,1.0000,1.0000,2.2568,3.5560,'Noise'
1424.00,73.6548,45.1112,0.7905,88.6556,2260,1424,0.5742,0.6301,42.5804,312.9550,'Text'
1472.00,74.6187,45.8083,0.7894,-64.1982,2428,1472,0.4748,0.6063,43.2921,298.7470,'Text'
1184.00,52.1101,48.7688,0.3523,30.6640,1655,1588,0.6116,0.7154,38.8267,152.4830,'Text'
1316.00,57.2541,50.5710,0.4689,-57.5505,1965,1316,0.5722,0.6697,40.9339,264.2940,'Text'
1252.00,49.1215,47.4205,0.2609,-80.3978,1689,1376,0.6186,0.7413,39.9261,214.7730,'Text'
1412.00,81.1680,45.8113,0.8255,-88.0090,2633,1412,0.4745,0.5363,42.4006,297.7050,'Text'
1288.00,48.2353,47.4769,0.1766,-86.3370,1667,1408,0.6970,0.7726,40.4961,211.0680,'Text'
1092.00,64.4391,35.3937,0.8357,-79.9260,1749,1092,0.5056,0.6244,37.2878,204.8820,'Text'
1180.00,50.2724,47.3356,0.3368,89.8317,1676,1316,0.5830,0.7041,38.7611,214.1610,'Text'
1224.00,57.1524,48.7895,0.5208,-51.8710,1934,1224,0.5322,0.6329,39.4771,260.9860,'Text'
1296.00,49.7034,46.4421,0.3563,85.9996,1692,1400,0.6429,0.7660,40.6217,214.1610,'Text'
1220.00,51.4823,49.7470,0.2574,23.2131,1694,1616,0.5766,0.7202,39.4126,155.3610,'Text'
1428.00,70.4702,45.9118,0.7586,78.5939,2214,1796,0.5007,0.6450,42.6402,207.3630,'Text'
1084.00,84.4436,35.4644,0.9075,-84.0336,2165,1084,0.3801,0.5007,37.1509,226.5660,'Text'
1116.00,83.0509,33.1163,0.9171,-83.9227,2090,1116,0.4286,0.5340,37.6953,220.9920,'Text'
1212.00,48.6561,46.4716,0.2963,-79.6954,1630,1324,0.6558,0.7436,39.2832,210.2410,'Text'
1212.00,51.4185,43.8937,0.5208,82.5025,1614,1212,0.6886,0.7509,39.2832,273.3580,'Text'
1240.00,48.2867,45.7396,0.3205,-89.9457,1646,1332,0.6126,0.7533,39.7343,211.6800,'Text'
1052.00,58.6162,38.0104,0.7612,76.9448,1700,1052,0.5445,0.6188,36.5985,204.8820,'Text'
988.00,90.4806,27.7317,0.9519,-87.5696,1793,988,0.4222,0.5510,35.4677,210.0260,'Text'
4.00,2.3094,2.3094,0.0000,0.0000,4,4,1.0000,1.0000,2.2568,3.5560,'Noise'
32.00,18.4752,2.3094,0.9922,0.0000,32,32,1.0000,1.0000,6.3831,30.9960,'Noise'
16.00,9.2376,2.3094,0.9682,0.0000,16,16,1.0000,1.0000,4.5135,15.3160,'Noise'
2808.00,163.3895,62.7221,0.9234,41.8285,6752,2808,0.2499,0.4159,59.7934,564.1660,'Text'
24.00,13.8564,2.3094,0.9860,0.0000,24,24,1.0000,1.0000,5.5279,23.1560,'Noise'
1328.00,57.2537,49.6134,0.4991,-45.6957,1972,1328,0.5804,0.6734,41.1201,266.5600,'Text'
1104.00,51.8540,49.7545,0.2817,47.0961,1631,1564,0.5702,0.6769,37.4921,151.6560,'Text'
1552.00,69.5823,46.6593,0.7419,75.7830,2235,1864,0.5442,0.6944,44.4530,214.1610,'Text'
1056.00,61.0129,41.0987,0.7391,79.4832,1829,1056,0.4991,0.5774,36.6680,215.6000,'Text'
20.00,11.5470,2.3094,0.9798,0.0000,20,20,1.0000,1.0000,5.0463,19.2360,'Noise'
1020.00,62.4888,36.3221,0.8137,-80.2041,1784,1020,0.4497,0.5717,36.0375,214.1610,'Text'
16.00,9.2376,2.3094,0.9682,0.0000,16,16,1.0000,1.0000,4.5135,15.3160,'Noise'
1204.00,74.9655,41.6519,0.8314,75.8603,2204,1204,0.3884,0.5463,39.1533,279.1140,'Text'
1556.00,69.6280,45.4930,0.7570,74.6154,2185,1860,0.5456,0.7121,44.5102,207.9750,'Text'
1160.00,51.8137,48.7197,0.3404,15.6668,1629,1572,0.6004,0.7121,38.4312,150.8290,'Text'
1708.00,70.6426,47.7182,0.7374,88.8170,2499,2044,0.6188,0.6835,46.6336,239.7320,'Text'
1144.00,83.0052,34.5088,0.9095,-87.6371,2451,1144,0.4393,0.4667,38.1652,250.2680,'Text'
1288.00,52.1866,46.2974,0.4615,87.3592,1797,1432,0.5833,0.7168,40.4961,218.6930,'Text'
